,Exp Count,Kill
0,0.546060358,4.271923408
1,0.454320001,4.603275384
2,0.550423175,5.037842644
3,0.400891181,4.563477945
4,0.332909989,4.806148809
5,0.575003115,4.920859988
6,0.422710989,4.924788224
7,0.48945654,4.491679405
8,0.435058941,4.65702223
9,0.536071449,4.831302311
10,0.474578885,4.885620133
11,0.479467631,4.634853767
12,0.341233683,4.687223784
13,0.645949447,5.384021941
14,0.564241699,5.010625227
15,0.377120721,5.122909575
16,0.511280694,5.124085193
17,0.406454025,4.52905914
18,0.448704043,4.750329575
19,0.336293269,4.67813904
20,0.423333616,4.896669931
21,0.265972947,4.897031312
22,0.546060358,4.738072494
23,0.387932707,4.924898075
24,0.416668924,4.758359108
25,0.314051404,5.0578805
26,0.407193473,4.670543937
27,0.449009239,5.24506368
28,0.526661148,5.020836275
29,0.318938096,5.182744054
30,0.589619362,4.820787235
31,0.268329783,4.750756822
32,0.418004219,5.123326041
33,0.375000964,4.769872072
34,0.481356585,4.705091126
35,0.414098923,5.092535691
36,0.398198134,4.933017661
37,0.539933116,4.761535165
38,0.330655028,4.412178025
39,0.495066053,5.001436538
40,0.417278859,4.88875126
41,0.416251977,5.291275134
42,0.535972958,4.816562356
43,0.316266537,4.838878013
44,0.565023055,4.910319406
45,0.476191124,4.772115336
46,0.417278859,4.88875126
47,0.416251977,5.291275134
48,0.535972958,4.816562356
49,0.316266537,4.838878013
50,0.565023055,4.910319406
51,0.476191124,4.772115336
52,0.612653084,4.801335584
53,0.484588961,4.731215889
54,0.395606624,5.031621744
55,0.326272984,4.839009706
56,0.369049816,4.619075114
57,0.45283054,4.887906128
58,0.218319736,4.34380992
59,0.401575255,4.386956566
60,0.343098101,5.008395443
61,0.349044458,5.38588853
62,0.295083456,4.78186523
63,0.251310447,4.386152637
64,0.233074543,3.815763231
65,0.249722725,3.785796504
66,0.244104436,4.595531332
67,0.33569581,4.992944014
68,0.196448543,3.755829777
69,0.179800362,4.012211774
70,0.269700542,3.905663412
71,0.239733816,3.85238923
72,0.216426361,4.065485955
73,0.276120639,4.05971967
74,0.236723456,4.124450984
75,0.269700542,3.862378139
76,0.25461358,4.295220387
77,0.317696244,4.286888555
78,0.234988356,3.986969112
79,0.230126775,4.050231236
80,0.286276306,4.180418387
81,0.3071176,4.247211691
82,0.262178965,4.177671378
83,0.295214493,3.989385044
84,0.328824647,4.230065209
85,0.323531179,4.268930881
86,0.224816664,4.138837926
87,0.283175323,4.112198167
88,0.21340749,4.124510137
89,0.268532971,4.074148667
90,0.26562666,4.101588135
91,0.287102841,4.21500258
92,0.197803067,4.08322046
93,0.309764623,4.057243155
94,0.306453343,4.153249252
95,0.306502876,4.16565273
96,0.28000168,3.996023976
97,0.214913318,4.083353034
98,0.248408632,4.26116346
99,0.278352094,4.132755392
100,0.325492238,4.117672895
101,0.270705745,3.986420213
102,0.24854774,4.203509145
103,0.321767983,4.149860599
104,0.326659836,4.171483648
105,0.250001488,4.03177003
106,0.223290093,4.130866722
107,0.283899869,4.258498034
108,0.278811653,4.167304836
109,0.29593219,4.028376938
110,0.286276306,3.866690928
111,0.301145229,4.059742639
112,0.227529368,4.082888106
113,0.280264854,4.531606376
114,0.258198203,3.967235878
115,0.33928738,4.017876874
116,0.289934559,4.071164438
117,0.305484863,4.139711544
118,0.241936498,4.117759204
119,0.296563092,4.263631694
120,0.287188478,4.179696923
121,0.244727081,4.118166049
122,0.238017434,3.991750712
123,0.314040762,4.001248774
124,0.275267568,4.077151515
125,0.263310679,4.195704583
126,0.260253515,4.40065035
127,0.299631342,4.183741338
128,0.273129077,4.163015768
129,0.316408228,4.062525391
130,0.2330466,4.087563376
131,0.349044458,4.19737006
132,0.306367917,4.098168238
133,0.278956955,4.199036277
134,0.27272831,4.204974664
135,0.326285565,4.164672699
136,0.277228683,4.321797155
137,0.306214558,4.153867046
138,0.283844282,4.135392849
139,0.228659547,4.125018236
140,0.39264908,4.319139878
141,0.280544256,4.276037448
142,0.25588367,4.191198043
143,0.251779419,4.105284765
144,0.300510307,4.584055534
145,0.256199829,4.05374246
146,0.320302293,4.172952411
147,0.283729017,4.264280227
148,0.225600902,4.353617414
149,0.252213617,4.243383485
150,0.369086804,4.447969171
151,0.290016997,4.264676167
152,0.280001369,4.297798789
153,0.277707047,4.212542111
154,0.250001354,4.108355587
155,0.26785823,4.266251081
156,0.264985397,4.201911302
157,0.276522557,4.299143145
158,0.342188997,4.382831675
159,0.327869748,4.37706114
160,0.283020306,4.071138242
161,0.30704801,4.328873587
162,0.36068778,4.311077752
163,0.258348751,4.391928763
164,0.344038275,4.2890105
165,0.307019025,4.263178463
166,0.247339702,4.372327634
167,0.275000172,4.618752887
168,0.296337633,3.978915411
169,0.32500176,4.479190929
170,0.269532935,4.175807349
171,0.351351114,4.452699694
172,0.299667269,4.002222865
173,0.27923581,4.682569743
174,0.341463831,4.469517646
175,0.373818686,4.211375066
176,0.302996906,4.158715773
177,0.312044593,4.593077428
178,0.290123636,4.574076898
179,0.353635133,4.609044572
180,0.26304127,3.935630139
181,0.269700542,3.972256138
182,0.322752177,4.497366395
183,0.316315451,4.271923408
184,0.283687541,4.687936613
185,0.234986148,4.503901162
186,0.210407145,4.615382527
187,0.193779673,3.681813778
188,0.262082418,4.611535307
189,0.2795452,4.547723138
190,0.244564553,4.345096888
191,0.246333805,4.469199037
192,0.272138288,4.723543137
193,0.339518318,4.664202469
194,0.268839378,4.698579123
195,0.320158609,4.476291662
196,0.319645087,4.035519228
197,0.361842105,4.625
198,0.205356593,4.455345209
199,0.36000036,4.644004644
200,0.2588495,4.460176004
201,0.332608768,4.604348827
202,0.323184633,4.327863785
203,0.310975989,4.750005793
204,0.305986561,4.523279591
205,0.288840326,4.56892879
206,0.19411719,4.261754678
207,0.23603995,4.850240266
208,0.302469323,4.629632487
209,0.277250725,4.84833319
210,0.293477463,4.679335111
211,0.290575079,4.735588458
212,0.303570615,4.410702471
213,0.23333275,4.508322063
214,0.154638737,4.469059495
215,0.275509501,4.829069314
216,0.296953486,4.644657083
217,0.289603459,4.611378149
218,0.349592359,4.544700668
219,0.240000051,4.743158893
220,0.215516684,4.491367695
221,0.290992736,4.579671386
222,0.203703326,4.444436214
223,0.107784173,4.625737423
224,0.16666625,4.5999885
225,0.263735467,4.598887201
226,0.265822364,4.405056321
227,0.289061597,4.72654773
228,0.258620021,4.568953701
229,0.301723358,4.465505693
230,0.269021008,4.785313083
231,0.267408726,4.621157044
232,0.259052203,4.688009226
233,0.243037359,4.769608178
234,0.230768663,4.273835634
235,0.304761324,4.466658159
236,0.337695363,4.680614794
237,0.220587716,4.438224851
238,0.277909409,4.945362298
239,0.221590405,4.576694144
240,0.218749316,4.773422583
241,0.308570547,4.499987143
242,0.177418783,4.685468757
243,0.253297418,4.733495496
244,0.235464432,4.595916872
