Unnamed: 0,Exp Count,Kill,Cluster,Label
4,0.332909989,4.806148809,0,Unknown
12,0.341233683,4.687223784,0,Unknown
19,0.336293269,4.67813904,0,Unknown
21,0.265972947,4.897031312,0,Unknown
31,0.268329783,4.750756822,0,Unknown
33,0.375000964,4.769872072,0,Unknown
38,0.330655028,4.412178025,0,Unknown
43,0.316266537,4.838878013,0,Unknown
49,0.316266537,4.838878013,0,Unknown
55,0.326272984,4.839009706,0,Unknown
56,0.369049816,4.619075114,0,Unknown
58,0.218319736,4.34380992,0,Unknown
62,0.295083456,4.78186523,0,Unknown
63,0.251310447,4.386152637,0,Unknown
64,0.233074543,3.815763231,0,Unknown
65,0.249722725,3.785796504,0,Unknown
66,0.244104436,4.595531332,0,Unknown
68,0.196448543,3.755829777,0,Unknown
69,0.179800362,4.012211774,0,Unknown
70,0.269700542,3.905663412,0,Unknown
71,0.239733816,3.85238923,0,Unknown
72,0.216426361,4.065485955,0,Unknown
73,0.276120639,4.05971967,0,Unknown
74,0.236723456,4.124450984,0,Unknown
75,0.269700542,3.862378139,0,Unknown
76,0.25461358,4.295220387,0,Unknown
77,0.317696244,4.286888555,0,Unknown
78,0.234988356,3.986969112,0,Unknown
79,0.230126775,4.050231236,0,Unknown
80,0.286276306,4.180418387,0,Unknown
81,0.3071176,4.247211691,0,Unknown
82,0.262178965,4.177671378,0,Unknown
83,0.295214493,3.989385044,0,Unknown
84,0.328824647,4.230065209,0,Unknown
85,0.323531179,4.268930881,0,Unknown
86,0.224816664,4.138837926,0,Unknown
87,0.283175323,4.112198167,0,Unknown
88,0.21340749,4.124510137,0,Unknown
89,0.268532971,4.074148667,0,Unknown
90,0.26562666,4.101588135,0,Unknown
91,0.287102841,4.21500258,0,Unknown
92,0.197803067,4.08322046,0,Unknown
93,0.309764623,4.057243155,0,Unknown
94,0.306453343,4.153249252,0,Unknown
95,0.306502876,4.16565273,0,Unknown
96,0.28000168,3.996023976,0,Unknown
97,0.214913318,4.083353034,0,Unknown
98,0.248408632,4.26116346,0,Unknown
99,0.278352094,4.132755392,0,Unknown
100,0.325492238,4.117672895,0,Unknown
101,0.270705745,3.986420213,0,Unknown
102,0.24854774,4.203509145,0,Unknown
103,0.321767983,4.149860599,0,Unknown
104,0.326659836,4.171483648,0,Unknown
105,0.250001488,4.03177003,0,Unknown
106,0.223290093,4.130866722,0,Unknown
107,0.283899869,4.258498034,0,Unknown
108,0.278811653,4.167304836,0,Unknown
109,0.29593219,4.028376938,0,Unknown
110,0.286276306,3.866690928,0,Unknown
111,0.301145229,4.059742639,0,Unknown
112,0.227529368,4.082888106,0,Unknown
113,0.280264854,4.531606376,0,Unknown
114,0.258198203,3.967235878,0,Unknown
115,0.33928738,4.017876874,0,Unknown
116,0.289934559,4.071164438,0,Unknown
117,0.305484863,4.139711544,0,Unknown
118,0.241936498,4.117759204,0,Unknown
119,0.296563092,4.263631694,0,Unknown
120,0.287188478,4.179696923,0,Unknown
121,0.244727081,4.118166049,0,Unknown
122,0.238017434,3.991750712,0,Unknown
123,0.314040762,4.001248774,0,Unknown
124,0.275267568,4.077151515,0,Unknown
125,0.263310679,4.195704583,0,Unknown
126,0.260253515,4.40065035,0,Unknown
127,0.299631342,4.183741338,0,Unknown
128,0.273129077,4.163015768,0,Unknown
129,0.316408228,4.062525391,0,Unknown
130,0.2330466,4.087563376,0,Unknown
131,0.349044458,4.19737006,0,Unknown
132,0.306367917,4.098168238,0,Unknown
133,0.278956955,4.199036277,0,Unknown
134,0.27272831,4.204974664,0,Unknown
135,0.326285565,4.164672699,0,Unknown
136,0.277228683,4.321797155,0,Unknown
137,0.306214558,4.153867046,0,Unknown
138,0.283844282,4.135392849,0,Unknown
139,0.228659547,4.125018236,0,Unknown
141,0.280544256,4.276037448,0,Unknown
142,0.25588367,4.191198043,0,Unknown
143,0.251779419,4.105284765,0,Unknown
144,0.300510307,4.584055534,0,Unknown
145,0.256199829,4.05374246,0,Unknown
146,0.320302293,4.172952411,0,Unknown
147,0.283729017,4.264280227,0,Unknown
148,0.225600902,4.353617414,0,Unknown
149,0.252213617,4.243383485,0,Unknown
151,0.290016997,4.264676167,0,Unknown
152,0.280001369,4.297798789,0,Unknown
153,0.277707047,4.212542111,0,Unknown
154,0.250001354,4.108355587,0,Unknown
155,0.26785823,4.266251081,0,Unknown
156,0.264985397,4.201911302,0,Unknown
157,0.276522557,4.299143145,0,Unknown
158,0.342188997,4.382831675,0,Unknown
159,0.327869748,4.37706114,0,Unknown
160,0.283020306,4.071138242,0,Unknown
161,0.30704801,4.328873587,0,Unknown
162,0.36068778,4.311077752,0,Unknown
163,0.258348751,4.391928763,0,Unknown
164,0.344038275,4.2890105,0,Unknown
165,0.307019025,4.263178463,0,Unknown
166,0.247339702,4.372327634,0,Unknown
167,0.275000172,4.618752887,0,Unknown
168,0.296337633,3.978915411,0,Unknown
169,0.32500176,4.479190929,0,Unknown
170,0.269532935,4.175807349,0,Unknown
171,0.351351114,4.452699694,0,Unknown
172,0.299667269,4.002222865,0,Unknown
173,0.27923581,4.682569743,0,Unknown
174,0.341463831,4.469517646,0,Unknown
176,0.302996906,4.158715773,0,Unknown
177,0.312044593,4.593077428,0,Unknown
178,0.290123636,4.574076898,0,Unknown
179,0.353635133,4.609044572,0,Unknown
180,0.26304127,3.935630139,0,Unknown
181,0.269700542,3.972256138,0,Unknown
182,0.322752177,4.497366395,0,Unknown
183,0.316315451,4.271923408,0,Unknown
184,0.283687541,4.687936613,0,Unknown
185,0.234986148,4.503901162,0,Unknown
186,0.210407145,4.615382527,0,Unknown
187,0.193779673,3.681813778,0,Unknown
188,0.262082418,4.611535307,0,Unknown
189,0.2795452,4.547723138,0,Unknown
190,0.244564553,4.345096888,0,Unknown
191,0.246333805,4.469199037,0,Unknown
192,0.272138288,4.723543137,0,Unknown
193,0.339518318,4.664202469,0,Unknown
194,0.268839378,4.698579123,0,Unknown
195,0.320158609,4.476291662,0,Unknown
196,0.319645087,4.035519228,0,Unknown
197,0.361842105,4.625,0,Unknown
198,0.205356593,4.455345209,0,Unknown
199,0.36000036,4.644004644,0,Unknown
200,0.2588495,4.460176004,0,Unknown
201,0.332608768,4.604348827,0,Unknown
202,0.323184633,4.327863785,0,Unknown
203,0.310975989,4.750005793,0,Unknown
